scope	mode	seq	dir	len	bip39_words	bip39_windows	bip39_valid	el_win12_13	el_valid12_13	el_win_all	el_valid_all	old_windows	wif_bip38_valid
all+p79json	w05	bold_nobar	fwd	281	63	1340	30	1611	11	10257	47	52	0
all+p79json	w05	bold_nobar	rev	281	63	1340	29	1611	4	10257	57	52	0
all+p79json	w05	nonemph	fwd	764	156	3930	82	4485	17	28938	126	280	0
all+p79json	w05	nonemph	rev	764	156	3930	96	4485	21	28938	152	280	0
all+p79json	w05	runfirst	fwd	80	19	85	5	266	1	1586	7	2	0
all+p79json	w05	runfirst	rev	80	19	85	5	266	0	1586	4	2	0
all+p79json	w05	runlast	fwd	80	20	113	1	266	0	1586	4	7	0
all+p79json	w05	runlast	rev	80	20	113	6	266	1	1586	2	7	0
all+p79json	w05	before	fwd	80	17	59	1	413	0	2470	12	6	0
all+p79json	w05	before	rev	80	17	59	6	413	0	2470	13	6	0
all+p79json	w05	after	fwd	80	13	28	0	274	0	1638	8	1	0
all+p79json	w05	after	rev	80	13	28	1	274	1	1638	8	1	0
all+p79json	w05	runfirst_L	fwd	125	34	245	8	667	6	4121	20	15	0
all+p79json	w05	runfirst_L	rev	125	34	245	2	667	5	4121	28	15	0
all+p79json	w05	runlast_L	fwd	125	25	425	12	665	3	4108	15	19	0
all+p79json	w05	runlast_L	rev	125	25	425	16	665	1	4108	19	19	0
all+p79json	w05	boldrun_first	fwd	54	15	50	3	166	0	936	0	0	0
all+p79json	w05	boldrun_first	rev	54	15	50	3	166	2	936	4	0	0
all+p79json	w05	boldrun_last	fwd	54	16	47	2	166	0	936	0	4	0
all+p79json	w05	boldrun_last	rev	54	16	47	0	166	5	936	9	4	0
all+p79json	w05	sent_emph_first	fwd	66	14	29	1	216	1	1261	4	1	0
all+p79json	w05	sent_emph_first	rev	66	14	29	2	216	4	1261	7	1	0
all+p79json	w05	sent_emph_last	fwd	66	14	53	2	317	2	1846	13	6	0
all+p79json	w05	sent_emph_last	rev	66	14	53	1	317	1	1846	10	6	0
all+p79json	w05	esent_first	fwd	66	11	9	2	218	1	1274	6	1	0
all+p79json	w05	esent_first	rev	66	11	9	0	218	1	1274	4	1	0
all+p79json	w05	esent_last	fwd	66	16	77	1	331	3	1937	7	8	0
all+p79json	w05	esent_last	rev	66	16	77	5	331	3	1937	8	8	0
all+p79json	any	emph	fwd	559	126	3050	81	3259	8	20969	119	227	0
all+p79json	any	emph	rev	559	126	3050	86	3259	31	20969	121	227	0
all+p79json	any	bold_nobar	fwd	343	76	1710	23	1983	7	12675	62	64	0
all+p79json	any	bold_nobar	rev	343	76	1710	46	1983	14	12675	59	64	0
